"Source:","F:\my_proj\stopwater\stopwater\Power_Supply L072.kicad_sch"
"Date:","07.11.2023 14:23:31"
"Tool:","Eeschema 7.0.2"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","66"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","ALTIUM_VALUE","CODE","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","DES","ID","KEY IMBASE","KT","MANUFACTURER","MANUFACTURER PN","MANUFACTURERPARTNUMBER","PART NUMBER","PDF","PN","POWER/VOLTAGE","REM","SMD","STOP_MIRROR","TKE","TOLERANCE","VENDOR","VENDOR PN","VOLTAGE","КОРПУС","ПРИМЕЧАНИЕ"
"24","1","R2","SMD 1206-22 кОм±5%","Power_Supply L072-altium-import:root_0_Res","1206","","","0.12","","Параметры резистора","ftp://192.168.1.200/Datasheets/Royal Ohm/Resistors/chip_resistors.pdf","","","","i60026C508226A000016","i60026C508226A000016","","","","","","","KDV12DR120ET","0,25Вт","SMD","","","","±0.5%","","","","1206","*"
"25","2","R3, R14","1206 4.75K","Power_Supply L072-altium-import:root_0_NRCV12F4751TR","1206","","","10К","","","","","","","","","","","","","1543","","","","","","","","","","","","",""
"26","1","R4","220K 2W","Power_Supply L072-altium-import:root_0_RSS-2W224JB","RSS2WH","","","220K","","","","","","","","","","CINETECH","RSS-2W224JB","","6033","","","","","","","","","","","","",""
"27","1","R5","0603 10 1%","Power_Supply L072-altium-import:root_0_NRC06F10R0TR","0603","","","10","","","","","","","","","","","","","5239","","","","","","","","","NIC","NRC06F10R0TR","","",""
"28","2","R6, R7","120K 0.5W","Power_Supply L072-altium-import:root_1_SFR16S0001203JA500","1206","","","150K","","","","","","","","","","","","","6212","sfr16s25.pdf","","","","","","","","Vishay","RC1206FR-07150KL","","",""
"29","1","R8","0603 200K 1%","Power_Supply L072-altium-import:root_3_NRC06F2003TR","0603","","","200K","","","","","","","","","","NIC","","","5852","","NRC06F2003TR","","","","","","","","","","",""
"30","2","R9, R10","0603 43.2K 1%","Power_Supply L072-altium-import:root_1_CRCW060343K2FKTA","0603","","","28.7K","","","","","","","","","","","","","6227","","","","","","","","","Vishay","CRCW060313K0FKTA","","",""
"31","1","R11","0603 4.75K 1%","Power_Supply L072-altium-import:root_3_CRCW0603-4751-FRT1","0603","","","23.2K","","","","","","","","","","","","","3581","","","","","","","","","Vishay","","","",""
"32","2","R12, R13","SMD 1206-100 Ом±1%","Power_Supply L072-altium-import:root_1_Res","1206","","","20","","Параметры резистора","ftp://192.168.1.200/Datasheets/Royal Ohm/Resistors/chip_resistors.pdf","","","","i60026C508226A00003A","i60026C508226A00003A","","","","","6224","","","0,25Вт","SMD","","","","±1%","","","","1206","*"
"33","1","RU1","V10E320P","Power_Supply L072-altium-import:root_1_VAR10-130 LYING","V10E320P","","","*","","","","","","Варистор UltraMOV 320В AC 420В DC 3500А -55+85C 10Dх5.6Lхd16Hмм","","","160173","","","","6099","","V10E320P","","","0","","","","","","","",""
